iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
GNY,Sanliurfa,Turkey,Şanlıurfa GAP,,Turquie,,10
RTW,Saratov,Russia,Saratov Central,,Russie,,10
GXF,Sayun Intl,Yemen,Sayun,,,,10
YKL,Schefferville,Canada,Schefferville,,,,10
JSH,Sitia,Greece,Sitia,,Grèce,,10
OVS,Sovetskiy,Russia,Sovetskiy,,Russie,,10
KSM,St Mary's,United States,St Mary's,,États-Unis,USA US Etats Unis,10
EBU,St-Etienne,France,Saint-Étienne-Bouthéon,,,,10
SCE,State College Pennsylvania,United States,University Park,,États-Unis,USA US Etats Unis,10
SYY,Stornoway,United Kingdom,Stornoway,,Royaume-Uni,Angleterre GB Grande-Bretagne,10
LSI,Sumburgh,United Kingdom,Sumburgh,,Royaume-Uni,Angleterre GB Grande-Bretagne,10
SDL,Sundsvall,Sweden,Sundsvall-Härnösand,,Suède,,10
ZYL,Sylhet Osmani,Bangladesh,Osmany,,,,10
TAC,Tacloban,Philippines,Daniel Z. Romualdez,,Philippines,,10
TAH,Tanna,Vanuatu,Tanna,,,,10
LDE,Tarbes,France,Tarbes-Lourdes-Pyrénées,,,,10
TFF,Tefe,Brazil,Tefé,,Brésil,,10
TCZ,Tengchong,China,Tengchong Tuofeng,,Chine,,10
YXT,Terrace,Canada,Northwest Regional Terrace-Kitimat,,,,10
YQD,The Pas,Canada,The Pas,,,,10
PBH,Thimphu,Bhutan,Paro,,,,10
TOL,Toledo,United States,Toledo Express,,États-Unis,USA US Etats Unis,10
TOF,Tomsk,Russia,Bogashevo,,Russie,,10
TBU,Tongatapu,Tonga,Fua'amotu,,,,10
TEN,Tongren,China,Tongren Fenghuang,,Chine,,10
TUF,Tours,France,Tours-Val-de-Loire,,,,10
TVC,Traverse City,United States,Cherry Capital,,États-Unis,USA US Etats Unis,10
USH,Ushuaia,Argentina,Malvinas Argentinas,,Argentine,,10
VAA,Vaasa,Finland,Vaasa,,Finlande,,10
VAN,Van,Turkey,Van Ferit Melen,,Turquie,,10
CWA,Wassau,United States,Central Wisconsin,,États-Unis,USA US Etats Unis,10
YXY,Whitehorse,Canada,Whitehorse / Erik Nielsen,,,,10
YWL,Williams Lake,Canada,Williams Lake,,,,10
XIC,Xichang,China,Xichang Qingshan,,Chine,,10
PYJ,Yakutia,Russia,Polyarny,,Russie,,10
ARI,Arica,Chile,Chacalluta,,Chili,,9
BTT,Bettles,United States,Bettles,,États-Unis,USA US Etats Unis,9
YTL,Big Trout Lake,Canada,Big Trout Lake,,,,9
ELI,Elim,United States,Elim,,États-Unis,USA US Etats Unis,9
YFO,Flin Flon,Canada,Flin Flon,,,,9
FRO,Floro,Norway,Florø,,Norvège,,9
KVD,Ganja,Azerbaijan,Ganja,,,,9
GZO,Gizo,Solomon Islands,Nusatupe,,,,9
YHK,Gjoa Haven,Canada,Gjoa Haven,,,,9
HLN,Helena,United States,Helena Regional,,États-Unis,USA US Etats Unis,9
HOD,Hodeidah,Yemen,Hodeidah,,,,9
SVD,Kingstown,Saint Vincent and the Grenadines,Argyle,,,,9
UNG,Kiunga,Papua New Guinea,Kiunga,,,,9
KQT,Kurgan Tyube,Tajikistan,Qurghonteppa,,,,9
MQN,Mo i Rana,Norway,"Mo i Rana, Røssvoll",,Norvège,,9
MJF,Mosjoen,Norway,Mosjøen (Kjærstad),,Norvège,,9
XQP,Quepos,Costa Rica,Quepos Managua,,Costa Rica,,9
KWN,Quinhagak,United States,Quinhagak,,États-Unis,USA US Etats Unis,9
RFP,Raiatea Island,French Polynesia,Raiatea,,,,9
RBY,Ruby,United States,Ruby,,États-Unis,USA US Etats Unis,9
SSJ,Sandnessjoen,Norway,Sandnessjøen (Stokka),,Norvège,,9
TAB,Scarborough,Trinidad and Tobago,Tobago-Crown Point,,,,9
SBZ,Sibiu,Romania,Sibiu,,Roumanie,,9
THL,Tachilek,Burma,Tachileik,,,,9
TOB,Tobruk,Libya,Gamal Abdel Nasser,,,,9
WAA,Wales,United States,Wales,,États-Unis,USA US Etats Unis,9
ABA,Abakan,Russia,Abakan,,Russie,,8
AZI,Abu Dhabi,United Arab Emirates,Bateen,,Émirats arabes unis,,8
BQN,Aguadilla,Puerto Rico,Rafael Hernandez,,,,8
ABY,Albany,United States,Southwest Georgia Regional,,États-Unis,USA US Etats Unis,8
ABX,Albury,Australia,Albury,,Australie,,8
ABL,Ambler,United States,Ambler,,États-Unis,USA US Etats Unis,8
AVA,Anshun,China,Anshun Huangguoshu,,Chine,,8
AUX,Araguaina,Brazil,Araguaína,,Brésil,,8
JTY,Astypalaia,Greece,Astypalaia,,Grèce,,8
ASW,Aswan,Egypt,Aswan,,Égypte,,8
YBG,Bagotville,Canada,CFB Bagotville,,,,8
BHI,Bahia Blanca,Argentina,Comandante Espora,,Argentine,,8
BBA,Balmaceda,Chile,Balmaceda,,Chili,,8
BLJ,Batna,Algeria,Batna,,Algérie,,8
BJF,Batsfjord,Norway,Båtsfjord,,Norvège,,8
XBE,Bearskin Lake,Canada,Bearskin Lake,,,,8
EYK,Beloyarsky,Russia,Beloyarskiy,,Russie,,8
BVG,Berlevag,Norway,Berlevåg,,Norvège,,8
BIK,Biak,Indonesia,Frans Kaisiepo,,Indonésie,,8
BGM,Binghamton,United States,Greater Binghamton/Edwin A Link field,,États-Unis,USA US Etats Unis,8
BSK,Biskra,Algeria,Biskra,,Algérie,,8
BFN,Bloemfontein,South Africa,Bram Fischer,,Afrique du Sud,,8
BSA,Bosaso,Somalia,Bosaso,,,,8
BKG,Branson,United States,Branson,,États-Unis,USA US Etats Unis,8
BTK,Bratsk,Russia,Bratsk,,Russie,,8
KTS,Brevig Mission,United States,Brevig Mission,,États-Unis,USA US Etats Unis,8
BHQ,Broken Hill,Australia,Broken Hill,,Australie,,8
BKC,Buckland,United States,Buckland,,États-Unis,USA US Etats Unis,8
UUA,Bugulma,Russia,Bugulma,,Russie,,8
BUA,Buka Island,Papua New Guinea,Buka,,,,8
BUQ,Bulawayo,Zimbabwe,Joshua Mqabuko Nkomo,,,,8
BXU,Butuan,Philippines,Bancasi,,Philippines,,8
CFR,Caen,France,Caen-Carpiquet,,,,8
APO,Carepa,Colombia,Antonio Roldan Betancourt,,Colombie,,8
MPH,Caticlan,Philippines,Godofredo P. Ramos,,Philippines,,8
CMI,Champaign,United States,University of Illinois Willard,,États-Unis,USA US Etats Unis,8
CTL,Charlieville,Australia,Charleville,,Australie,,8
YYG,Charlottetown,Canada,Charlottetown,,,,8
YHR,Chevery,Canada,Chevery,,,,8
YKU,Chisasibi,Canada,Chisasibi,,,,8
COQ,Choibalsan,Mongolia,Choibalsan,,,,8
AGT,Ciudad del Este,Paraguay,Guarani,,,,8
YCY,Clyde River,Canada,Clyde River,,,,8
ZSA,Cockburn Town,Bahamas,San Salvador,,Bahamas,,8
GDT,Cockburn Town,Turks and Caicos Islands,JAGS McCartney,,,,8
CFS,Coff's Harbour,Australia,Coffs Harbour,,Australie,,8
COU,Columbia,United States,Columbia Regional,,États-Unis,USA US Etats Unis,8
CPO,Copiapo,Chile,Desierto de Atacama,,Chili,,8
YXC,Cranbrook,Canada,Cranbrook/Canadian Rockies,,,,8
CUC,Cucuta,Colombia,Camilo Daza,,Colombie,,8
DCY,Daocheng,China,Daocheng Yading,,Chine,,8
DAU,Daru,Papua New Guinea,Daru,,,,8
DRG,Deering,United States,Deering,,États-Unis,USA US Etats Unis,8
DIL,Dili,East Timor,Presidente Nicolau Lobato,,,,8
DPL,Dipolog,Philippines,Dipolog,,Philippines,,8
DLH,Duluth,United States,Duluth,,États-Unis,USA US Etats Unis,8
DGT,Dumaguete,Philippines,Sibulan,,Philippines,,8
EUN,El Aaiún,Western Sahara,Hassan I,,,,8
