iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
LLY,Mount Holly,United States,South Jersey Regional,,États-Unis,USA US Etats Unis,0
MHU,Mount Hotham,Australia,Mount Hotham,,Australie,,0
WME,Mount Keith,Australia,Mount Keith,,Australie,,0
MMG,Mount Magnet,Australia,Mount Magnet,,Australie,,0
MPO,Mount Pocono,United States,Pocono Mountains Municipal,,États-Unis,USA US Etats Unis,0
MUO,Mountain Home,United States,Mountain Home Air Force Base,,États-Unis,USA US Etats Unis,0
WMH,Mountain Home,United States,Ozark Regional,,États-Unis,USA US Etats Unis,0
NUQ,Mountain View,United States,Moffett Federal Airfield,,États-Unis,USA US Etats Unis,0
OYL,Moyale,Kenya,Moyale,,Kenya,,0
MNB,Muanda,Congo (Kinshasa),Muanda,,,,0
BUU,Muara Bungo,Indonesia,Muara Bungo,,Indonésie,,0
MVS,Mucuri,Brazil,Mucuri,,Brésil,,0
DGE,Mudgee,Australia,Mudgee,,Australie,,0
MUD,Mueda,Mozambique,Mueda,,,,0
MUI,Muir,United States,Muir Army Air Field (Fort Indiantown Gap),,États-Unis,USA US Etats Unis,0
LII,Mulia,Indonesia,Mulia,,Indonésie,,0
MIE,Muncie,United States,Delaware County Johnson Field,,États-Unis,USA US Etats Unis,0
RMU,Murcia,Spain,Región de Murcia,,Espagne,,0
MYI,Murray Island,Australia,Murray Island,,Australie,,0
RBK,Murrieta-Temecula,United States,French Valley,,États-Unis,USA US Etats Unis,0
YQA,Muskoka,Canada,Muskoka,,,,0
MUZ,Musoma,Tanzania,Musoma,,,,0
YBS,Musselwhite Mine,Canada,Opapimiskan Lake,,,,0
MQS,Mustique,Saint Vincent and the Grenadines,Mustique,,,,0
UTA,Mutare,Zimbabwe,Mutare,,,,0
MFG,Muzaffarabad,Pakistan,Muzaffarabad,,,,0
MVA,Myvatn,Iceland,Reykjahlíð,,Islande,,0
ZZU,Mzuzu,Malawi,Mzuzu,,,,0
NYE,NYERI,Kenya,Nyeri,,Kenya,,0
MNC,Nacala,Mozambique,Nacala,,,,0
NDN,Nadunumu,Papua New Guinea,Nadunumu,,,,0
MEQ,Nagan Raya,Indonesia,Seunagan,,Indonésie,,0
PGH,Nainital,India,Pantnagar,,Inde,,0
KDT,Nakhon Pathom,Thailand,Kamphaeng Saen,,Thaïlande,,0
NAK,Nakhon Ratchasima,Thailand,Nakhon Ratchasima,,Thaïlande,,0
TKH,Nakhon Sawan,Thailand,Takhli,,Thaïlande,,0
YQN,Nakina,Canada,Nakina,,,,0
NAL,Nalchik,Russia,Nalchik,,Russie,,0
NAM,Namlea,Indonesia,Namlea,,Indonésie,,0
NMS,Namsang,Burma,Namsang,,,,0
ZNA,Nanaimo,Canada,Nanaimo Harbour Water,,,,0
ENC,Nancy,France,Nancy-Essey,,,,0
PBP,Nandayure,Costa Rica,Islita,,Costa Rica,,0
NDC,Nanded,India,Nanded,,Inde,,0
NPO,Nangapinoh,Indonesia,Nanga Pinoh,,Indonésie,,0
YSR,Nanisivik,Canada,Nanisivik,,,,0
APC,Napa,United States,Napa County,,États-Unis,USA US Etats Unis,0
NAU,Napuka,French Polynesia,Napuka Island,,,,0
NAC,Naracoorte,Australia,Naracoorte,,Australie,,0
NAA,Narrabri,Australia,Narrabri,,Australie,,0
ASH,Nashua,United States,Boire Field,,États-Unis,USA US Etats Unis,0
ISK,Nasik Road,India,Nashik,,Inde,,0
PID,Nassau,Bahamas,Nassau Paradise Island,,Bahamas,,0
WNS,Nawabshah,Pakistan,Shaheed Benazirabad,,,,0
NMT,Naypyidaw,Burma,Namtu,,,,0
NZC,Nazca,Peru,Maria Reiche Neuman,,Pérou,,0
NEC,Necochea,Argentina,Necochea,,Argentine,,0
EED,Needles,United States,Needles,,États-Unis,USA US Etats Unis,0
NFG,Nefteyugansk,Russia,Nefteyugansk,,Russie,,0
GXG,Negage,Angola,Negage,,,,0
NEG,Negril,Jamaica,Negril,,Jamaïque,,0
NLP,Nelspruit,South Africa,Nelspruit,,Afrique du Sud,,0
EMN,Nema,Mauritania,Néma,,,,0
ENN,Nenana,United States,Nenana Municipal,,États-Unis,USA US Etats Unis,0
FNB,Neubrandenburg,Germany,Neubrandenburg,,Allemagne,,0
QNC,Neuchatel,Switzerland,Neuchatel,,Suisse,,0
EUM,Neumuenster,Germany,Neumünster,,Allemagne,,0
VTM,Nevatim,Israel,Nevatim Air Base,,Israël,,0
NVS,Nevers,France,Nevers-Fourchambault,,,,0
NBG,New Orleans,United States,New Orleans NAS JRB/Alvin Callender Field,La Nouvelle-Orléans,États-Unis,USA US Etats Unis,0
NEW,New Orleans,United States,Lakefront,La Nouvelle-Orléans,États-Unis,USA US Etats Unis,0
PHD,New Philadelpha,United States,Harry Clever Field,,États-Unis,USA US Etats Unis,0
KNW,New Stuyahok,United States,New Stuyahok,,États-Unis,USA US Etats Unis,0
JRB,New York,United States,Downtown-Manhattan/Wall St Heliport,,États-Unis,NYC USA US Etats Unis,0
JRA,New York,United States,West 30th St. Heliport,,États-Unis,NYC USA US Etats Unis,0
NCS,Newcastle,South Africa,Newcastle,,Afrique du Sud,,0
ONP,Newport,United States,Newport Municipal,,États-Unis,USA US Etats Unis,0
EWK,Newton,United States,Newton City-County,,États-Unis,USA US Etats Unis,0
NGI,Ngau,Fiji,Ngau,,,,0
AHJ,Ngawa,China,Hongyuan,,Chine,,0
NHA,Nhatrang,Vietnam,Nha Trang Air Base,,Viêt Nam,,0
LRL,Niatougou,Togo,Niamtougou,,,,0
NIU,Niau,French Polynesia,Naiu,,,,0
ICK,Nieuw Nickerie,Suriname,Nieuw Nickerie,,,,0
NLV,Nikolayev,Ukraine,Mykolaiv,,Ukraine,,0
NLI,Nikolayevsk-na-Amure Airport,Russia,Nikolayevsk-na-Amure,,Russie,,0
NIG,Nikunau,Kiribati,Nikunau,,,,0
NLH,Ninglang,China,Ninglang Luguhu,,Chine,,0
NIO,Nioki,Congo (Kinshasa),Nioki,,,,0
NIT,Niort,France,Niort-Souché,,,,0
INI,Nis,Serbia,Nis,,Serbie,,0
NTT,Niuatoputapu,Tonga,Kuini Lavenia,,,,0
NOG,Nogales,Mexico,Nogales,,Mexique,,0
OLS,Nogales,United States,Nogales,,États-Unis,USA US Etats Unis,0
NNL,Nondalton,United States,Nondalton,,États-Unis,USA US Etats Unis,0
NON,Nonouti,Kiribati,Nonouti,,,,0
NKB,Noonkanbah,Australia,Noonkanbah,,Australie,,0
NOD,Norden,Germany,Norden-Norddeich,,Allemagne,,0
NRD,Norderney,Germany,Norderney,,Allemagne,,0
NOR,Nordfjordur,Iceland,Norðfjörður,,Islande,,0
FCN,Nordholz,Germany,Nordholz Naval Airbase,,Allemagne,,0
NGU,Norfolk,United States,Norfolk Naval Station (Chambers Field),,États-Unis,USA US Etats Unis,0
OFK,Norfolk  Nebraska,United States,Karl Stefan Memorial,,États-Unis,USA US Etats Unis,0
NMC,Norman's Cay,Bahamas,Normans Cay,,Bahamas,,0
YQW,North Battleford,Canada,North Battleford,,,,0
NCA,North Caicos,Turks and Caicos Islands,North Caicos,,,,0
OBN,North Connel,United Kingdom,Oban,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
NCO,North Kingstown,United States,Quonset State,,États-Unis,USA US Etats Unis,0
CRE,North Myrtle Beach,United States,Grand Strand,,États-Unis,USA US Etats Unis,0
IKB,North Wilkesboro,United States,Wilkes County,,États-Unis,USA US Etats Unis,0
NHT,Northolt,United Kingdom,RAF Northolt,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
ORT,Northway,United States,Northway,,États-Unis,USA US Etats Unis,0
YNE,Norway House,Canada,Norway House,,,,0
OWD,Norwood,United States,Norwood Memorial,,États-Unis,USA US Etats Unis,0
NTB,Notodden,Norway,Notodden,,Norvège,,0
NQT,Nottingham,United Kingdom,Nottingham,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
QNV,Nova Iguacu,Brazil,Aeroclube,,Brésil,,0
NOT,Novato,United States,Marin County - Gnoss Field,,États-Unis,USA US Etats Unis,0
QND,Novi Sad,Serbia,Cenej,,Serbie,,0
NVP,Novo Aripuana,Brazil,Novo Aripuanã,,Brésil,,0
NPR,Novo Progresso,Brazil,Novo Progresso,,Brésil,,0
NOA,Nowra,Australia,Nowra,,Australie,,0
GER,Nueva Gerona,Cuba,Rafael Cabrera,,Cuba,,0
NCG,Nuevo Casas Grandes,Mexico,Nuevo Casas Grandes,,Mexique,,0
NUK,Nukutavake,French Polynesia,Nukutavake,,,,0
SUS,Null,United States,Spirit of St Louis,,États-Unis,USA US Etats Unis,0
NNX,Nunukan-Nunukan Island,Indonesia,Nunukan,,Indonésie,,0
CJN,Nusawiru,Indonesia,Nusawiru,,Indonésie,,0
NYR,Nyurba,Russia,Nyurba,,Russie,,0
NZA,Nzagi,Angola,Nzagi,,,,0
NZE,Nzerekore,Guinea,Nzérékoré,,,,0
OKY,Oakey,Australia,Oakey,,Australie,,0
OEL,Oakley,United States,Oryol Yuzhny,,États-Unis,USA US Etats Unis,0
OAM,Oamaru,New Zealand,Oamaru,,Nouvelle-Zélande,,0
OBF,Oberpfaffenhofen,Germany,Oberpfaffenhofen,,Allemagne,,0
OBC,Obock,Djibouti,Obock,,,,0
OCF,Ocala,United States,Ocala - Jim Taylor Field,,États-Unis,USA US Etats Unis,0
OCV,Ocana,Colombia,Aguas Claras,,Colombie,,0
OCA,Ocean Reef Club Airport,United States,Ocean Reef Club,,États-Unis,USA US Etats Unis,0
NTU,Oceana,United States,Oceana Naval Air Station,,États-Unis,USA US Etats Unis,0
OCJ,Ocho Rios,Jamaica,Boscobel Aerodrome,,Jamaïque,,0
ODE,Odense,Denmark,Odense,,Danemark,,0
KEO,Odienne,Cote d'Ivoire,Odienne,,,,0
ODH,Odiham,United Kingdom,RAF Odiham,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
HIF,Ogden,United States,Hill Air Force Base,,États-Unis,USA US Etats Unis,0
OHA,Ohakea,New Zealand,RNZAF Base Ohakea,,Nouvelle-Zélande,,0
OHD,Ohrid,Macedonia,Ohrid St. Paul the Apostle,,,,0
OYK,Oioiapoque,Brazil,Oiapoque,,Brésil,,0
OKF,Okaukuejo,Namibia,Okaukuejo,,,,0
OBE,Okeechobee,United States,Okeechobee County,,États-Unis,USA US Etats Unis,0
OHO,Okhotsk,Russia,Okhotsk,,Russie,,0
OKI,Oki Island,Japan,Oki,,Japon,,0
OKE,Okierabu,Japan,Okierabu,,Japon,,0
TIK,Oklahoma City,United States,Tinker Air Force Base,,États-Unis,USA US Etats Unis,0
PWA,Oklahoma City,United States,Wiley Post,,États-Unis,USA US Etats Unis,0
OKM,Okmulgee,United States,Okmulgee Regional,,États-Unis,USA US Etats Unis,0
OKN,Okondja,Gabon,Okondja,,,,0
OIR,Okushiri,Japan,Okushiri,,Japon,,0
JCI,Olathe,United States,New Century Aircenter,,États-Unis,USA US Etats Unis,0
OJC,Olathe,United States,Johnson County Executive,,États-Unis,USA US Etats Unis,0
OVR,Olavarria,Argentina,Olavarria,,Argentine,,0
YOC,Old Crow,Canada,Old Crow,,,,0
OLZ,Olekminsk,Russia,Olyokminsk,,Russie,,0
ONK,Olenyok,Russia,Olenyok,,Russie,,0
OLV,Olive Branch,United States,Olive Branch,,États-Unis,USA US Etats Unis,0
SFS,Olongapo City,Philippines,Subic Bay,,Philippines,,0
OLJ,Olpoi,Vanuatu,North West Santo,,,,0
OLM,Olympia,United States,Olympia Regional,,États-Unis,USA US Etats Unis,0
OFF,Omaha,United States,Offutt Air Force Base,,États-Unis,USA US Etats Unis,0
OMB,Omboue Hospial,Gabon,Omboue Hopital,,,,0
OMI,Omidyeh,Iran,Omidiyeh,,,,0
ONS,Onslow,Australia,Onslow,,Australie,,0
ONO,Ontario,United States,Ontario Municipal,,États-Unis,USA US Etats Unis,0
UPP,Opolu,United States,Upolu,,États-Unis,USA US Etats Unis,0
TAF,Oran,Algeria,Tafaraoui,,Algérie,,0
ORA,Oran,Argentina,Orán,,Argentine,,0
XOG,Orange,France,Orange-Caritat (BA 115) Air Base,,,,0
OGB,Orangeburg,United States,Orangeburg Municipal,,États-Unis,USA US Etats Unis,0
ORP,Orapa,Botswana,Orapa,,,,0
OGU,Ordu-Giresun,Turkey,Ordu Giresun,,Turquie,,0
ORJ,Orinduik,Guyana,Orinduik,,,,0
FNU,Oristano,Italy,Oristano-Fenosu,,Italie,,0
ORL,Orlando,United States,Orlando Executive,,États-Unis,USA US Etats Unis,0
ORE,Orleans,France,Orléans-Bricy (BA 123) Air Base,,,,0
ORW,Ormara Raik,Pakistan,Ormara,,,,0
OMC,Ormoc City,Philippines,Ormoc,,Philippines,,0
OSN,Osan,South Korea,Osan Air Base,,Corée du Sud,,0
OSC,Oscoda,United States,Oscoda Wurtsmith,,États-Unis,USA US Etats Unis,0
YOO,Oshawa,Canada,Toronto/Oshawa Executive,,,,0
OSH,Oshkosh,United States,Wittman Regional,,États-Unis,USA US Etats Unis,0
OSK,Oskarshamn,Sweden,Oskarshamn,,Suède,,0
FBU,Oslo,Norway,"Oslo, Fornebu",,Norvège,,0
OTJ,Otjiwarongo,Namibia,Otjiwarongo,,,,0
YRO,Ottawa,Canada,Ottawa / Rockcliffe,,,,0
OTM,Ottumwa,United States,Ottumwa Regional,,États-Unis,USA US Etats Unis,0
OTU,Otu,Colombia,Otu,,Colombie,,0
OUH,Oudtshoorn,South Africa,Oudtshoorn,,Afrique du Sud,,0
OUE,Ouesso,Congo (Kinshasa),Ouesso,,,,0
OUK,Outer Skerries,United Kingdom,Outer Skerries,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
OVG,Overberg,South Africa,Overberg,,Afrique du Sud,,0
FTX,Owando,Congo (Kinshasa),Owando,,,,0
YOS,Owen Sound,Canada,Owen Sound / Billy Bishop Regional,,,,0
OXF,Oxford,United Kingdom,Oxford (Kidlington),,Royaume-Uni,Angleterre GB Grande-Bretagne,0
OXC,Oxford,United States,Waterbury Oxford,,États-Unis,USA US Etats Unis,0
UOX,Oxford,United States,University Oxford,,États-Unis,USA US Etats Unis,0
YOH,Oxford House,Canada,Oxford House,,,,0
OXR,Oxnard,United States,Oxnard,,États-Unis,USA US Etats Unis,0
OYE,Oyem,Gabon,Oyem,,,,0
OZA,Ozona,United States,Ozona Municipal,,États-Unis,USA US Etats Unis,0
AEG,Padang Sidempuan,Indonesia,Aek Godang,,Indonésie,,0
QPA,Padova,Italy,Padova,,Italie,,0
PHK,Pahokee,United States,Palm Beach County Glades,,États-Unis,USA US Etats Unis,0
GBA,Pailton,United Kingdom,Cotswold,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
PKK,Pakhokku,Burma,Pakhokku,,,,0
PSX,Palacios,United States,Palacios Municipal,,États-Unis,USA US Etats Unis,0
PMK,Palm Island,Australia,Palm Island,,Australie,,0
TRM,Palm Springs,United States,Jacqueline Cochran Regional,,États-Unis,USA US Etats Unis,0
UDD,Palm Springs,United States,Bermuda Dunes,,États-Unis,USA US Etats Unis,0
PTM,Palmarito,Venezuela,Palmarito,,,,0
PMD,Palmdale,United States,Palmdale Regional/USAF Plant 42,,États-Unis,USA US Etats Unis,0
PAQ,Palmer,United States,"Warren ""Bud"" Woods Palmer Municipal",,États-Unis,USA US Etats Unis,0
PMS,Palmyra,Syria,Palmyra,,,,0
PAO,Palo Alto,United States,Palo Alto of Santa Clara County,,États-Unis,USA US Etats Unis,0
OEM,Paloemeu,Suriname,Vincent Fayks,,,,0
PPA,Pampa,United States,Perry Lefors Field,,États-Unis,USA US Etats Unis,0
PAM,Panama City,United States,Tyndall Air Force Base,,États-Unis,USA US Etats Unis,0
PFN,Panama City,United States,Panama City-Bay Co,,États-Unis,USA US Etats Unis,0
PNV,Panevezys,Lithuania,Panevėžys Air Base,,,,0
PKG,Pangkor Island,Malaysia,Pulau Pangkor,,,,0
PAJ,Parachinar,Pakistan,Parachinar,,,,0
PKO,Parakou,Benin,Parakou,,,,0
ORG,Paramaribo,Suriname,Zorg en Hoop,,,,0
SZW,Parchim,Germany,Schwerin Parchim,,Allemagne,,0
LBG,Paris,France,Paris-Le Bourget,,,,0
PRX,Paris,United States,Cox Field,,États-Unis,USA US Etats Unis,0
EPU,Parnu,Estonia,Pärnu,,,,0
YPD,Parry Sound,Canada,Parry Sound Area Municipal,,,,0
PPF,Parsons,United States,Tri-City,,États-Unis,USA US Etats Unis,0
IXT,Pasighat,India,Pasighat,,Inde,,0
PPR,Pasir Pangaraian,Indonesia,Pasir Pangaraan,,Indonésie,,0
PSI,Pasni,Pakistan,Pasni,,,,0
AOL,Paso De Los Libres,Argentina,Paso De Los Libres,,Argentine,,0
PRB,Paso Robles,United States,Paso Robles Municipal,,États-Unis,USA US Etats Unis,0
PTZ,Pastaza,Ecuador,Rio Amazonas,,,,0
IXP,Pathankot,India,Pathankot,,Inde,,0
BSX,Pathein,Burma,Pathein,,,,0
PFJ,Patreksfjordur,Iceland,Patreksfjörður,,Islande,,0
PAN,Pattani,Thailand,Pattani,,Thaïlande,,0
NHK,Patuxent River,United States,Patuxent River Naval Air Station (Trapnell Field),,États-Unis,USA US Etats Unis,0
QPG,Paya Lebar,Singapore,Paya Lebar Air Base,,Singapour,,0
PDU,Paysandu,Uruguay,Tydeo Larre Borges,,,,0
PZA,Paz De Ariporo,Colombia,Paz De Ariporo,,Colombie,,0
YPE,Peace River,Canada,Peace River,,,,0
PEX,Pechora,Russia,Pechora,,Russie,,0
PEQ,Pecos,United States,Pecos Municipal,,États-Unis,USA US Etats Unis,0
PJC,Pedro Juan Caballero,Paraguay,Dr Augusto Roberto Fuster,,,,0
PEF,Peenemunde,Germany,Peenemünde,,Allemagne,,0
PEH,Pehuajo,Argentina,Comodoro Pedro Zanni,,Argentine,,0
YBB,Pelly Bay,Canada,Kugaaruk,,,,0
PMA,Pemba,Tanzania,Pemba,,,,0
PMB,Pembina,United States,Pembina Municipal,,États-Unis,USA US Etats Unis,0
YTA,Pembroke,Canada,Pembroke,,,,0
PNY,Pendicherry,India,Pondicherry,,Inde,,0
PEA,Penneshaw,Australia,Penneshaw,,Australie,,0
PYE,Penrhyn Island,Cook Islands,Tongareva,,,,0
NPA,Pensacola,United States,Pensacola Naval Air Station/Forrest Sherman Field,,États-Unis,USA US Etats Unis,0
PZE,Penzance,United Kingdom,Penzance Heliport,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
PMQ,Perito Moreno,Argentina,Perito Moreno,,Argentine,,0
JAD,Perth,Australia,Perth Jandakot,,Australie,,0
PSL,Perth,United Kingdom,Perth/Scone,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
GUS,Peru,United States,Grissom Air Reserve Base,Pérou,États-Unis,USA US Etats Unis,0
VYS,Peru,United States,Illinois Valley Regional-Walter A Duncan Field,Pérou,États-Unis,USA US Etats Unis,0
YWA,Petawawa,Canada,Petawawa,,,,0
YPQ,Peterborough,Canada,Peterborough,,,,0
KCS,Petermann,Australia,Kings Creek,,Australie,,0
PTB,Petersburg,United States,Dinwiddie County,,États-Unis,USA US Etats Unis,0
PHA,Phan Rang,Vietnam,Phan Rang,,Viêt Nam,,0
PPL,Phaplu,Nepal,Phaplu,,,,0
PHY,Phetchabun,Thailand,Phetchabun,,Thaïlande,,0
PNE,Philadelphia,United States,Northeast Philadelphia,,États-Unis,USA US Etats Unis,0
BBX,Philadelphia,United States,Wings Field,,États-Unis,USA US Etats Unis,0
PZL,Phinda,South Africa,Zulu Inyala,,Afrique du Sud,,0
LUF,Phoenix,United States,Luke Air Force Base,,États-Unis,USA US Etats Unis,0
DVT,Phoenix,United States,Phoenix Deer Valley,,États-Unis,USA US Etats Unis,0
PCQ,Phongsaly,Laos,Boun Neau,,,,0
PCS,Picos,Brazil,Picos,,Brésil,,0
PCN,Picton,New Zealand,Picton Aerodrome,,Nouvelle-Zélande,,0
PZY,Piestany,Slovakia,Piešťany,,,,0
PVL,Pikeville,United States,Pike County-Hatcher Field,,États-Unis,USA US Etats Unis,0
PIW,Pikwitonei,Canada,Pikwitonei,,,,0
NTY,Pilanesberg,South Africa,Pilanesberg,,Afrique du Sud,,0
PIL,Pilar,Paraguay,Carlos Miguel Gimenez,,,,0
PBQ,Pimenta Bueno,Brazil,Pimenta Bueno,,Brésil,,0
SNJ,Pinar Del Rio,Cuba,San Julian Air Base,,Cuba,,0
QPD,Pinar Del Rio Norte,Cuba,Pinar Del Rio,,Cuba,,0
WPC,Pincher Creek,Canada,Pincher Creek,,,,0
PBF,Pine Bluff,United States,"Pine Bluff Regional, Grider Field",,États-Unis,USA US Etats Unis,0
PIM,Pine Mountain,United States,Harris County,,États-Unis,USA US Etats Unis,0
PWY,Pinedale,United States,Ralph Wenz Field,,États-Unis,USA US Etats Unis,0
SOP,Pinehurst-Southern Pines,United States,Moore County,,États-Unis,USA US Etats Unis,0
PIF,Pingtung,Taiwan,Pingtung North,,,,0
QPS,Piracununga,Brazil,Campo Fontenelle,,Brésil,,0
GPN,Pirlangimpi,Australia,Garden Point,,Australie,,0
PIO,Pisco,Peru,Capitán FAP Renán Elías Olivera,,Pérou,,0
PTX,Pitalito,Colombia,Pitalito,,Colombie,,0
AGC,Pittsburgh,United States,Allegheny County,,États-Unis,USA US Etats Unis,0
PLH,Plymouth,United Kingdom,Plymouth City,,Royaume-Uni,Angleterre GB Grande-Bretagne,0
PYM,Plymouth,United States,Plymouth Municipal,,États-Unis,USA US Etats Unis,0
BCL,Pococi,Costa Rica,Barra del Colorado,,Costa Rica,,0
POO,Pocos De Caldas,Brazil,Poços de Caldas - Embaixador Walther Moreira Salles,,Brésil,,0
NTD,Point Mugu,United States,Point Mugu Naval Air Station (Naval Base Ventura Co),,États-Unis,USA US Etats Unis,0
YNL,Points North Landing,Canada,Points North Landing,,,,0
HIM,Polonnaruwa Town,Sri Lanka,Hingurakgoda Air Force Base,,,,0
PLV,Poltava,Ukraine,Suprunovka,,Ukraine,,0
PPM,Pompano Beach,United States,Pompano Beach Airpark,,États-Unis,USA US Etats Unis,0
PNC,Ponca City,United States,Ponca City Regional,,États-Unis,USA US Etats Unis,0
PGZ,Ponta Grossa,Brazil,Ponta Grossa - Comandante Antonio Amilton Beraldo,,Brésil,,0
PMG,Ponta Pora,Brazil,Ponta Porã,,Brésil,,0
PTK,Pontiac,United States,Oakland County,,États-Unis,USA US Etats Unis,0
POX,Pontoise,France,Pontoise - Cormeilles-en-Vexin,,,,0
POF,Poplar Bluff,United States,Poplar Bluff Municipal,,États-Unis,USA US Etats Unis,0
XPP,Poplar River,Canada,Poplar River,,,,0
TAT,Poprad,Slovakia,Poprad-Tatry,,,,0
POT,Port Antonio,Jamaica,Ken Jones,,Jamaïque,,0
WPB,Port Bergé,Madagascar,Port Bergé,,,,0
KPC,Port Clarence,United States,Port Clarence Coast Guard Station,,États-Unis,USA US Etats Unis,0
YPS,Port Hawkesbury,Canada,Port Hawkesbury,,,,0
YHA,Port Hope Simpson,Canada,Port Hope Simpson,,,,0
PHN,Port Huron,United States,St Clair County,,États-Unis,USA US Etats Unis,0
PSD,Port Said,Egypt,Port Said,,Égypte,,0
JOH,Port Saint Johns,South Africa,Port St Johns,,Afrique du Sud,,0
PTA,Port alsworth,United States,Port Alsworth,,États-Unis,USA US Etats Unis,0
PAX,Port-de-Paix,Haiti,Port-de-Paix,,Haïti,,0
YPG,Portage-la-prairie,Canada,Southport,,,,0
PRM,Portimao,Portugal,Portimão,,Portugal,,0
PBN,Porto Amboim,Angola,Porto Amboim,,,,0
PKH,Porto Heli,Greece,Porto Cheli,,Grèce,,0
PNB,Porto Nacional,Brazil,Porto Nacional,,Brésil,,0
POW,Portoroz,Slovenia,Portoroz,,,,0
PVO,Portoviejo,Ecuador,Reales Tamarindos,,,,0
PMH,Portsmouth,United States,Greater Portsmouth Regional,,États-Unis,USA US Etats Unis,0
WPR,Porvenir,Chile,Capitan Fuentes Martinez,,Chili,,0
PCF,Potchefstroom,South Africa,Potchefstroom,,Afrique du Sud,,0
POU,Poughkeepsie,United States,Dutchess County,,États-Unis,USA US Etats Unis,0
PPY,Pouso Alegre,Brazil,Pouso Alegre,,Brésil,,0
HHQ,Prachuap Khiri Khan,Thailand,Hua Hin,,Thaïlande,,0
PCD,Prairie du Chien,United States,Prairie Du Chien Municipal,,États-Unis,USA US Etats Unis,0
PTT,Pratt,United States,Pratt Regional,,États-Unis,USA US Etats Unis,0
PRV,Prerov,Czech Republic,Přerov Air Base,,Tchéquie,Republique tcheque,0
PRQ,Presidencia R.s.pena,Argentina,Termal,,Argentine,,0
PRY,Pretoria,South Africa,Wonderboom,,Afrique du Sud,,0
PUC,Price,United States,Carbon County Regional/Buck Davis Field,,États-Unis,USA US Etats Unis,0
YPA,Prince Albert,Canada,Prince Albert Glass Field,,,,0
ZSW,Prince Rupert,Canada,Prince Rupert/Seal Cove Seaplane Base,,,,0
PCP,Principe,Sao Tome and Principe,Principe,,,,0
PRZ,Prineville,United States,Prineville,,États-Unis,USA US Etats Unis,0
PXH,Prominent Hill,Australia,Prominent Hill,,Australie,,0
PRP,Propriano,France,Propriano,,,,0
PPC,Prospect Creek,United States,Prospect Creek,,États-Unis,USA US Etats Unis,0
PVS,Provideniya Bay,Russia,Provideniya Bay,,Russie,,0
PKV,Pskov,Russia,Pskov,,Russie,,0
ZPC,Pucon,Chile,Pucón,,Chili,,0
PBR,Puerto Barrios,Guatemala,Puerto Barrios,,,,0
PUZ,Puerto Cabezas,Nicaragua,Puerto Cabezas,,,,0
PUD,Puerto Deseado,Argentina,Puerto Deseado,,Argentine,,0
PNT,Puerto Natales,Chile,Tte. Julio Gallardo,,Chili,,0
PUR,Puerto Rico/Manuripi,Bolivia,Puerto Rico,,,,0
PSZ,Puerto Suarez,Bolivia,Capitán Av. Salvador Ogaya G. airport,,,,0
WPU,Puerto Williams,Chile,Guardiamarina Zañartu,,Chili,,0
PKP,Puka Puka,French Polynesia,Puka Puka,,,,0
TWZ,Pukaki,New Zealand,Pukaki,,Nouvelle-Zélande,,0
PUK,Pukarua,French Polynesia,Pukarua,,,,0
XPK,Pukatawagan,Canada,Pukatawagan,,,,0
PPE,Punta Penasco,Mexico,Mar de Cortés,,Mexique,,0
PUT,Puttaparthi,India,Sri Sathya Sai,,Inde,,0
PSU,Putussibau-Borneo Island,Indonesia,Pangsuma,,Indonésie,,0
PRU,Pyay,Burma,Pyay,,,,0
PEV,Pécs-Pogány,Hungary,Pécs-Pogány,,Hongrie,,0
JCH,Qasigiannguit,Greenland,Qasigiannguit Heliport,,,,0
RQW,Qayyarah,Iraq,Qayyarah West,,,,0
QQT,Qeqertaq,Greenland,Qeqertaq Heliport,,,,0
JGO,Qeqertarsuaq Airport,Greenland,Qeqertarsuaq Heliport,,,,0
IQM,Qiemo,China,Qiemo Yudu,,Chine,,0
BAR,Qionghai,China,Qionghai Bo'ao,,Chine,,0
UKT,Quakertown,United States,Quakertown,,États-Unis,USA US Etats Unis,0
GFL,Queensbury,United States,Floyd Bennett Memorial,,États-Unis,USA US Etats Unis,0
UTW,Queenstown,South Africa,Queenstown,,Afrique du Sud,,0
AAZ,Quezaltenango,Guatemala,Quezaltenango,,,,0
RDO,RADOM,Poland,Radom,,Pologne,,0
RAC,Racine,United States,John H Batten,,États-Unis,USA US Etats Unis,0
RAT,Raduzhnyi,Russia,Raduzhny,,Russie,,0
RJN,Rafsanjan,Iran,Rafsanjan,,,,0
RAQ,Raha,Indonesia,Sugimanuru,,Indonésie,,0
RJB,Rajbiraj,Nepal,Rajbiraj,,,,0
RHP,Ramechhap,Nepal,Ramechhap,,,,0
ZIA,Ramenskoe,Russia,Zhukovsky,,Russie,,0
RAM,Ramingining,Australia,Ramingining,,Australie,,0
